"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6779","Delete a product from cart","firefox","2026-08-05","failed","2026-08-05","","ui/products.spec.ts","",""
"","31456","Fill in the signup form and submit","chromium","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","5964","Increase product quantity in view products page","chromium","2026-08-05","failed","2026-08-05","","ui/products.spec.ts","",""
"","5952","Login with invalid credentials","chromium","2026-08-05","failed","2026-08-05","","ui/login.spec.ts","",""
"","530","User tests","firefox","2026-08-05","failed","2026-08-05","","api/user.spec.ts","",""
"","6595","Search for a product","webkit","2026-08-05","failed","2026-08-05","","ui/products.spec.ts","",""
"","62948","Navigate to signup page and register a new user","webkit","2026-08-05","broken","2026-08-05","","ui/register.spec.ts","",""
"","30703","Delete the created user account","firefox","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","30621","Delete the created user account","chromium","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","6736","Add to cart from products page","firefox","2026-08-05","failed","2026-08-05","","ui/products.spec.ts","",""
"","5862","Login with valid credentials","chromium","2026-08-05","failed","2026-08-05","","ui/login.spec.ts","",""
"","497","Product tests","firefox","2026-08-05","failed","2026-08-05","","api/products.spec.ts","",""
"","6621","Increase product quantity in view products page","webkit","2026-08-05","failed","2026-08-05","","ui/products.spec.ts","",""
"","427","Product tests","webkit","2026-08-05","failed","2026-08-05","","api/products.spec.ts","",""
"","62489","Navigate to signup page and register a new user","chromium","2026-08-05","broken","2026-08-05","","ui/register.spec.ts","",""
"","6611","Add a product to cart and checkout","webkit","2026-08-05","failed","2026-08-05","","ui/products.spec.ts","",""
"","5952","Add to cart from products page","chromium","2026-08-05","failed","2026-08-05","","ui/products.spec.ts","",""
"","6710","Navigate to products page","firefox","2026-08-05","failed","2026-08-05","","ui/products.spec.ts","",""
"","6759","Add to cart from product details page","firefox","2026-08-05","failed","2026-08-05","","ui/products.spec.ts","",""
"","5944","Delete a product from cart","chromium","2026-08-05","failed","2026-08-05","","ui/products.spec.ts","",""
"","5844","Search for a product","chromium","2026-08-05","failed","2026-08-05","","ui/products.spec.ts","",""
"","60111","Navigate to signup page and register a new user","firefox","2026-08-05","broken","2026-08-05","","ui/register.spec.ts","",""
"","401","User tests","chromium","2026-08-05","failed","2026-08-05","","api/user.spec.ts","",""
"","6646","Navigate to products page","webkit","2026-08-05","failed","2026-08-05","","ui/products.spec.ts","",""
"","6663","View product details","webkit","2026-08-05","failed","2026-08-05","","ui/products.spec.ts","",""
"","510","User tests","webkit","2026-08-05","failed","2026-08-05","","api/user.spec.ts","",""
"","30331","Fill in the signup form and submit","firefox","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","413","Verify Login API","webkit","2026-08-05","failed","2026-08-05","","api/login.spec.ts","",""
"","6650","Add to cart from product details page","webkit","2026-08-05","failed","2026-08-05","","ui/products.spec.ts","",""
"","6733","Login with valid credentials","firefox","2026-08-05","failed","2026-08-05","","ui/login.spec.ts","",""
"","6628","Login with valid credentials","webkit","2026-08-05","failed","2026-08-05","","ui/login.spec.ts","",""
"","6751","Search for a product","firefox","2026-08-05","failed","2026-08-05","","ui/products.spec.ts","",""
"","6616","Login with invalid credentials","webkit","2026-08-05","failed","2026-08-05","","ui/login.spec.ts","",""
"","516","Verify Login API","firefox","2026-08-05","failed","2026-08-05","","api/login.spec.ts","",""
"","34024","Delete the created user account","webkit","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","6641","Add to cart from products page","webkit","2026-08-05","failed","2026-08-05","","ui/products.spec.ts","",""
"","30918","Fill in the signup form and submit","webkit","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","6795","Increase product quantity in view products page","firefox","2026-08-05","failed","2026-08-05","","ui/products.spec.ts","",""
"","5943","Add to cart from product details page","chromium","2026-08-05","failed","2026-08-05","","ui/products.spec.ts","",""
"","6739","Login with invalid credentials","firefox","2026-08-05","failed","2026-08-05","","ui/login.spec.ts","",""
"","404","Product tests","chromium","2026-08-05","failed","2026-08-05","","api/products.spec.ts","",""
"","5935","Add a product to cart and checkout","chromium","2026-08-05","failed","2026-08-05","","ui/products.spec.ts","",""
"","402","Verify Login API","chromium","2026-08-05","failed","2026-08-05","","api/login.spec.ts","",""
"","6761","View product details","firefox","2026-08-05","failed","2026-08-05","","ui/products.spec.ts","",""
"","6644","Delete a product from cart","webkit","2026-08-05","failed","2026-08-05","","ui/products.spec.ts","",""
"","5856","Navigate to products page","chromium","2026-08-05","failed","2026-08-05","","ui/products.spec.ts","",""
"","5933","View product details","chromium","2026-08-05","failed","2026-08-05","","ui/products.spec.ts","",""
"","6753","Add a product to cart and checkout","firefox","2026-08-05","failed","2026-08-05","","ui/products.spec.ts","",""
