"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9992","Login with valid credentials","webkit","2026-08-30","passed","2026-08-30","","ui/login.spec.ts","",""
"","19987","Navigate to signup page and register a new user","webkit","2026-08-30","passed","2026-08-30","","ui/register.spec.ts","",""
"","5506","View product details","webkit","2026-08-30","passed","2026-08-30","","ui/products.spec.ts","",""
"","1001","Verify Login API","firefox","2026-08-30","passed","2026-08-30","","api/login.spec.ts","",""
"","5149","Delete a product from cart","firefox","2026-08-30","passed","2026-08-30","","ui/products.spec.ts","",""
"","6777","Add to cart from product details page","webkit","2026-08-30","passed","2026-08-30","","ui/products.spec.ts","",""
"","932","User tests","webkit","2026-08-30","passed","2026-08-30","","api/user.spec.ts","",""
"","5980","Increase product quantity in view products page","firefox","2026-08-30","passed","2026-08-30","","ui/products.spec.ts","",""
"","30621","Delete the created user account","chromium","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","3536","Login with invalid credentials","firefox","2026-08-30","passed","2026-08-30","","ui/login.spec.ts","",""
"","31456","Fill in the signup form and submit","chromium","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","4161","Add a product to cart and checkout","chromium","2026-08-30","passed","2026-08-30","","ui/products.spec.ts","",""
"","4909","Delete a product from cart","chromium","2026-08-30","passed","2026-08-30","","ui/products.spec.ts","",""
"","1001","User tests","chromium","2026-08-30","passed","2026-08-30","","api/user.spec.ts","",""
"","4272","Search for a product","firefox","2026-08-30","passed","2026-08-30","","ui/products.spec.ts","",""
"","1032","User tests","firefox","2026-08-30","passed","2026-08-30","","api/user.spec.ts","",""
"","9219","Add a product to cart and checkout","webkit","2026-08-30","failed","2026-08-30","","ui/products.spec.ts","",""
"","34024","Delete the created user account","webkit","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","5002","Login with invalid credentials","webkit","2026-08-30","passed","2026-08-30","","ui/login.spec.ts","",""
"","3917","Add to cart from product details page","chromium","2026-08-30","passed","2026-08-30","","ui/products.spec.ts","",""
"","5145","Search for a product","webkit","2026-08-30","passed","2026-08-30","","ui/products.spec.ts","",""
"","3572","View product details","chromium","2026-08-30","passed","2026-08-30","","ui/products.spec.ts","",""
"","789","Product tests","chromium","2026-08-30","passed","2026-08-30","","api/products.spec.ts","",""
"","3927","Navigate to products page","webkit","2026-08-30","passed","2026-08-30","","ui/products.spec.ts","",""
"","18038","Navigate to signup page and register a new user","firefox","2026-08-30","passed","2026-08-30","","ui/register.spec.ts","",""
"","6580","Add to cart from products page","webkit","2026-08-30","passed","2026-08-30","","ui/products.spec.ts","",""
"","3414","Add to cart from products page","chromium","2026-08-30","passed","2026-08-30","","ui/products.spec.ts","",""
"","2755","Navigate to products page","chromium","2026-08-30","passed","2026-08-30","","ui/products.spec.ts","",""
"","1156","Verify Login API","chromium","2026-08-30","passed","2026-08-30","","api/login.spec.ts","",""
"","1150","Verify Login API","webkit","2026-08-30","passed","2026-08-30","","api/login.spec.ts","",""
"","3696","Login with invalid credentials","chromium","2026-08-30","passed","2026-08-30","","ui/login.spec.ts","",""
"","679","Product tests","webkit","2026-08-30","passed","2026-08-30","","api/products.spec.ts","",""
"","4268","Search for a product","chromium","2026-08-30","passed","2026-08-30","","ui/products.spec.ts","",""
"","5866","Delete a product from cart","webkit","2026-08-30","passed","2026-08-30","","ui/products.spec.ts","",""
"","5994","Increase product quantity in view products page","webkit","2026-08-30","passed","2026-08-30","","ui/products.spec.ts","",""
"","30331","Fill in the signup form and submit","firefox","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","4532","Login with valid credentials","chromium","2026-08-30","passed","2026-08-30","","ui/login.spec.ts","",""
"","3041","Navigate to products page","firefox","2026-08-30","passed","2026-08-30","","ui/products.spec.ts","",""
"","17028","Navigate to signup page and register a new user","chromium","2026-08-30","passed","2026-08-30","","ui/register.spec.ts","",""
"","5037","Add a product to cart and checkout","firefox","2026-08-30","passed","2026-08-30","","ui/products.spec.ts","",""
"","30918","Fill in the signup form and submit","webkit","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","6027","Login with valid credentials","firefox","2026-08-30","passed","2026-08-30","","ui/login.spec.ts","",""
"","728","Product tests","firefox","2026-08-30","passed","2026-08-30","","api/products.spec.ts","",""
"","3913","View product details","firefox","2026-08-30","passed","2026-08-30","","ui/products.spec.ts","",""
"","4601","Increase product quantity in view products page","chromium","2026-08-30","passed","2026-08-30","","ui/products.spec.ts","",""
"","30703","Delete the created user account","firefox","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","4078","Add to cart from products page","firefox","2026-08-30","passed","2026-08-30","","ui/products.spec.ts","",""
"","5129","Add to cart from product details page","firefox","2026-08-30","passed","2026-08-30","","ui/products.spec.ts","",""
