"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11275","Product tests","webkit","2026-07-20","failed","2026-07-20","","api/products.spec.ts","",""
"","9712","Verify Login API","chromium","2026-07-20","failed","2026-07-20","","api/login.spec.ts","",""
"","6655","Search for a product","webkit","2026-07-20","failed","2026-07-20","","ui/products.spec.ts","",""
"","6763","Add to cart from products page","firefox","2026-07-20","failed","2026-07-20","","ui/products.spec.ts","",""
"","6811","Login with valid credentials","firefox","2026-07-20","failed","2026-07-20","","ui/login.spec.ts","",""
"","6064","Delete a product from cart","chromium","2026-07-20","failed","2026-07-20","","ui/products.spec.ts","",""
"","30918","Fill in the signup form and submit","webkit","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","6455","View product details","webkit","2026-07-20","failed","2026-07-20","","ui/products.spec.ts","",""
"","30331","Fill in the signup form and submit","firefox","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","60343","Navigate to signup page and register a new user","chromium","2026-07-20","broken","2026-07-20","","ui/register.spec.ts","",""
"","5897","Login with valid credentials","chromium","2026-07-20","failed","2026-07-20","","ui/login.spec.ts","",""
"","6775","Add a product to cart and checkout","firefox","2026-07-20","failed","2026-07-20","","ui/products.spec.ts","",""
"","6655","Add a product to cart and checkout","webkit","2026-07-20","failed","2026-07-20","","ui/products.spec.ts","",""
"","60119","Navigate to signup page and register a new user","firefox","2026-07-20","broken","2026-07-20","","ui/register.spec.ts","",""
"","64027","Navigate to signup page and register a new user","webkit","2026-07-20","broken","2026-07-20","","ui/register.spec.ts","",""
"","6044","View product details","chromium","2026-07-20","failed","2026-07-20","","ui/products.spec.ts","",""
"","6732","Search for a product","firefox","2026-07-20","failed","2026-07-20","","ui/products.spec.ts","",""
"","9869","Product tests","chromium","2026-07-20","failed","2026-07-20","","api/products.spec.ts","",""
"","6034","Search for a product","chromium","2026-07-20","failed","2026-07-20","","ui/products.spec.ts","",""
"","5881","Navigate to products page","chromium","2026-07-20","failed","2026-07-20","","ui/products.spec.ts","",""
"","11430","User tests","webkit","2026-07-20","failed","2026-07-20","","api/user.spec.ts","",""
"","6059","Login with invalid credentials","chromium","2026-07-20","failed","2026-07-20","","ui/login.spec.ts","",""
"","6078","Add a product to cart and checkout","chromium","2026-07-20","failed","2026-07-20","","ui/products.spec.ts","",""
"","6801","Navigate to products page","firefox","2026-07-20","failed","2026-07-20","","ui/products.spec.ts","",""
"","10860","Verify Login API","webkit","2026-07-20","failed","2026-07-20","","api/login.spec.ts","",""
"","6702","Login with invalid credentials","webkit","2026-07-20","failed","2026-07-20","","ui/login.spec.ts","",""
"","6772","Increase product quantity in view products page","firefox","2026-07-20","failed","2026-07-20","","ui/products.spec.ts","",""
"","6470","Navigate to products page","webkit","2026-07-20","failed","2026-07-20","","ui/products.spec.ts","",""
"","6672","Delete a product from cart","webkit","2026-07-20","failed","2026-07-20","","ui/products.spec.ts","",""
"","10738","Product tests","firefox","2026-07-20","failed","2026-07-20","","api/products.spec.ts","",""
"","31456","Fill in the signup form and submit","chromium","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","6783","Login with invalid credentials","firefox","2026-07-20","failed","2026-07-20","","ui/login.spec.ts","",""
"","9480","User tests","chromium","2026-07-20","failed","2026-07-20","","api/user.spec.ts","",""
"","6057","Increase product quantity in view products page","chromium","2026-07-20","failed","2026-07-20","","ui/products.spec.ts","",""
"","34024","Delete the created user account","webkit","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","10840","User tests","firefox","2026-07-20","failed","2026-07-20","","api/user.spec.ts","",""
"","6079","Add to cart from products page","chromium","2026-07-20","failed","2026-07-20","","ui/products.spec.ts","",""
"","30703","Delete the created user account","firefox","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","6693","Increase product quantity in view products page","webkit","2026-07-20","failed","2026-07-20","","ui/products.spec.ts","",""
"","6682","Add to cart from products page","webkit","2026-07-20","failed","2026-07-20","","ui/products.spec.ts","",""
"","6719","Add to cart from product details page","firefox","2026-07-20","failed","2026-07-20","","ui/products.spec.ts","",""
"","30621","Delete the created user account","chromium","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","6787","View product details","firefox","2026-07-20","failed","2026-07-20","","ui/products.spec.ts","",""
"","6663","Add to cart from product details page","webkit","2026-07-20","failed","2026-07-20","","ui/products.spec.ts","",""
"","6517","Login with valid credentials","webkit","2026-07-20","failed","2026-07-20","","ui/login.spec.ts","",""
"","6748","Delete a product from cart","firefox","2026-07-20","failed","2026-07-20","","ui/products.spec.ts","",""
"","9908","Verify Login API","firefox","2026-07-20","failed","2026-07-20","","api/login.spec.ts","",""
"","6064","Add to cart from product details page","chromium","2026-07-20","failed","2026-07-20","","ui/products.spec.ts","",""
