"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4602","Add to cart from product details page","firefox","2026-09-20","passed","2026-09-20","","ui/products.spec.ts","",""
"","5840","Delete a product from cart","webkit","2026-09-20","passed","2026-09-20","","ui/products.spec.ts","",""
"","4117","Login with invalid credentials","webkit","2026-09-20","passed","2026-09-20","","ui/login.spec.ts","",""
"","3609","View product details","firefox","2026-09-20","passed","2026-09-20","","ui/products.spec.ts","",""
"","766","User tests","webkit","2026-09-20","passed","2026-09-20","","api/user.spec.ts","",""
"","4069","Login with valid credentials","chromium","2026-09-20","passed","2026-09-20","","ui/login.spec.ts","",""
"","30918","Fill in the signup form and submit","webkit","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","5129","Add to cart from product details page","chromium","2026-09-20","passed","2026-09-20","","ui/products.spec.ts","",""
"","935","Verify Login API","firefox","2026-09-20","passed","2026-09-20","","api/login.spec.ts","",""
"","3989","Search for a product","chromium","2026-09-20","passed","2026-09-20","","ui/products.spec.ts","",""
"","30331","Fill in the signup form and submit","firefox","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","30703","Delete the created user account","firefox","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","7148","Login with valid credentials","webkit","2026-09-20","passed","2026-09-20","","ui/login.spec.ts","",""
"","6526","Add a product to cart and checkout","webkit","2026-09-20","passed","2026-09-20","","ui/products.spec.ts","",""
"","34024","Delete the created user account","webkit","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","5577","Add to cart from products page","webkit","2026-09-20","passed","2026-09-20","","ui/products.spec.ts","",""
"","19914","Navigate to signup page and register a new user","chromium","2026-09-20","failed","2026-09-20","","ui/register.spec.ts","",""
"","5097","Login with valid credentials","firefox","2026-09-20","passed","2026-09-20","","ui/login.spec.ts","",""
"","4188","Delete a product from cart","chromium","2026-09-20","passed","2026-09-20","","ui/products.spec.ts","",""
"","4950","Add a product to cart and checkout","firefox","2026-09-20","passed","2026-09-20","","ui/products.spec.ts","",""
"","2708","Navigate to products page","firefox","2026-09-20","passed","2026-09-20","","ui/products.spec.ts","",""
"","4651","Increase product quantity in view products page","firefox","2026-09-20","passed","2026-09-20","","ui/products.spec.ts","",""
"","938","User tests","chromium","2026-09-20","passed","2026-09-20","","api/user.spec.ts","",""
"","1095","Verify Login API","chromium","2026-09-20","passed","2026-09-20","","api/login.spec.ts","",""
"","5993","Search for a product","webkit","2026-09-20","passed","2026-09-20","","ui/products.spec.ts","",""
"","584","Product tests","chromium","2026-09-20","passed","2026-09-20","","api/products.spec.ts","",""
"","8675","View product details","webkit","2026-09-20","failed","2026-09-20","","ui/products.spec.ts","",""
"","4098","Add a product to cart and checkout","chromium","2026-09-20","passed","2026-09-20","","ui/products.spec.ts","",""
"","4043","Add to cart from products page","firefox","2026-09-20","passed","2026-09-20","","ui/products.spec.ts","",""
"","31456","Fill in the signup form and submit","chromium","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","5340","Increase product quantity in view products page","webkit","2026-09-20","passed","2026-09-20","","ui/products.spec.ts","",""
"","3382","Login with invalid credentials","chromium","2026-09-20","passed","2026-09-20","","ui/login.spec.ts","",""
"","5280","Add to cart from product details page","webkit","2026-09-20","passed","2026-09-20","","ui/products.spec.ts","",""
"","4345","Search for a product","firefox","2026-09-20","passed","2026-09-20","","ui/products.spec.ts","",""
"","886","Verify Login API","webkit","2026-09-20","passed","2026-09-20","","api/login.spec.ts","",""
"","5171","Increase product quantity in view products page","chromium","2026-09-20","passed","2026-09-20","","ui/products.spec.ts","",""
"","551","Product tests","firefox","2026-09-20","passed","2026-09-20","","api/products.spec.ts","",""
"","30621","Delete the created user account","chromium","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","3632","View product details","chromium","2026-09-20","passed","2026-09-20","","ui/products.spec.ts","",""
"","3380","Login with invalid credentials","firefox","2026-09-20","passed","2026-09-20","","ui/login.spec.ts","",""
"","6258","Delete a product from cart","firefox","2026-09-20","passed","2026-09-20","","ui/products.spec.ts","",""
"","18414","Navigate to signup page and register a new user","firefox","2026-09-20","passed","2026-09-20","","ui/register.spec.ts","",""
"","3055","Navigate to products page","chromium","2026-09-20","passed","2026-09-20","","ui/products.spec.ts","",""
"","3376","Add to cart from products page","chromium","2026-09-20","passed","2026-09-20","","ui/products.spec.ts","",""
"","4213","Navigate to products page","webkit","2026-09-20","passed","2026-09-20","","ui/products.spec.ts","",""
"","765","User tests","firefox","2026-09-20","passed","2026-09-20","","api/user.spec.ts","",""
"","1814","Product tests","webkit","2026-09-20","passed","2026-09-20","","api/products.spec.ts","",""
"","21735","Navigate to signup page and register a new user","webkit","2026-09-20","passed","2026-09-20","","ui/register.spec.ts","",""
