"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4660","Add a product to cart and checkout","chromium","2026-09-22","passed","2026-09-22","","ui/products.spec.ts","",""
"","1974","Verify Login API","webkit","2026-09-22","passed","2026-09-22","","api/login.spec.ts","",""
"","5205","Search for a product","chromium","2026-09-22","passed","2026-09-22","","ui/products.spec.ts","",""
"","2644","Navigate to products page","firefox","2026-09-22","passed","2026-09-22","","ui/products.spec.ts","",""
"","5232","Add to cart from product details page","chromium","2026-09-22","passed","2026-09-22","","ui/products.spec.ts","",""
"","4499","Increase product quantity in view products page","chromium","2026-09-22","passed","2026-09-22","","ui/products.spec.ts","",""
"","30331","Fill in the signup form and submit","firefox","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","974","Verify Login API","firefox","2026-09-22","passed","2026-09-22","","api/login.spec.ts","",""
"","4718","Delete a product from cart","chromium","2026-09-22","passed","2026-09-22","","ui/products.spec.ts","",""
"","3614","View product details","firefox","2026-09-22","passed","2026-09-22","","ui/products.spec.ts","",""
"","9628","Add to cart from product details page","webkit","2026-09-22","failed","2026-09-22","","ui/products.spec.ts","",""
"","817","User tests","firefox","2026-09-22","passed","2026-09-22","","api/user.spec.ts","",""
"","3174","Add to cart from products page","chromium","2026-09-22","passed","2026-09-22","","ui/products.spec.ts","",""
"","5032","Login with valid credentials","firefox","2026-09-22","passed","2026-09-22","","ui/login.spec.ts","",""
"","30621","Delete the created user account","chromium","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","3888","Login with invalid credentials","chromium","2026-09-22","passed","2026-09-22","","ui/login.spec.ts","",""
"","30995","Delete a product from cart","webkit","2026-09-22","broken","2026-09-22","","ui/products.spec.ts","",""
"","9688","Navigate to products page","webkit","2026-09-22","failed","2026-09-22","","ui/products.spec.ts","",""
"","9650","Add to cart from products page","webkit","2026-09-22","failed","2026-09-22","","ui/products.spec.ts","",""
"","5160","Login with invalid credentials","webkit","2026-09-22","passed","2026-09-22","","ui/login.spec.ts","",""
"","3259","Navigate to products page","chromium","2026-09-22","passed","2026-09-22","","ui/products.spec.ts","",""
"","9645","Increase product quantity in view products page","webkit","2026-09-22","failed","2026-09-22","","ui/products.spec.ts","",""
"","1064","Product tests","webkit","2026-09-22","passed","2026-09-22","","api/products.spec.ts","",""
"","21568","Navigate to signup page and register a new user","webkit","2026-09-22","passed","2026-09-22","","ui/register.spec.ts","",""
"","4380","Add a product to cart and checkout","firefox","2026-09-22","passed","2026-09-22","","ui/products.spec.ts","",""
"","869","User tests","webkit","2026-09-22","passed","2026-09-22","","api/user.spec.ts","",""
"","34024","Delete the created user account","webkit","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","772","User tests","chromium","2026-09-22","passed","2026-09-22","","api/user.spec.ts","",""
"","6934","Add a product to cart and checkout","webkit","2026-09-22","passed","2026-09-22","","ui/products.spec.ts","",""
"","4679","Add to cart from products page","firefox","2026-09-22","passed","2026-09-22","","ui/products.spec.ts","",""
"","17111","Navigate to signup page and register a new user","chromium","2026-09-22","passed","2026-09-22","","ui/register.spec.ts","",""
"","543","Product tests","firefox","2026-09-22","passed","2026-09-22","","api/products.spec.ts","",""
"","4037","Add to cart from product details page","firefox","2026-09-22","passed","2026-09-22","","ui/products.spec.ts","",""
"","1135","Verify Login API","chromium","2026-09-22","passed","2026-09-22","","api/login.spec.ts","",""
"","4416","Login with valid credentials","chromium","2026-09-22","passed","2026-09-22","","ui/login.spec.ts","",""
"","4357","Search for a product","firefox","2026-09-22","passed","2026-09-22","","ui/products.spec.ts","",""
"","19847","Navigate to signup page and register a new user","firefox","2026-09-22","passed","2026-09-22","","ui/register.spec.ts","",""
"","4293","Login with invalid credentials","firefox","2026-09-22","passed","2026-09-22","","ui/login.spec.ts","",""
"","10564","Login with valid credentials","webkit","2026-09-22","passed","2026-09-22","","ui/login.spec.ts","",""
"","534","Product tests","chromium","2026-09-22","passed","2026-09-22","","api/products.spec.ts","",""
"","30918","Fill in the signup form and submit","webkit","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","9619","View product details","webkit","2026-09-22","failed","2026-09-22","","ui/products.spec.ts","",""
"","4259","View product details","chromium","2026-09-22","passed","2026-09-22","","ui/products.spec.ts","",""
"","30703","Delete the created user account","firefox","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","5613","Increase product quantity in view products page","firefox","2026-09-22","passed","2026-09-22","","ui/products.spec.ts","",""
"","9640","Search for a product","webkit","2026-09-22","failed","2026-09-22","","ui/products.spec.ts","",""
"","4519","Delete a product from cart","firefox","2026-09-22","passed","2026-09-22","","ui/products.spec.ts","",""
"","31456","Fill in the signup form and submit","chromium","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
