"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6788","Navigate to products page","firefox","2026-07-25","failed","2026-07-25","","ui/products.spec.ts","",""
"","30703","Delete the created user account","firefox","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","6503","Login with invalid credentials","webkit","2026-07-25","failed","2026-07-25","","ui/login.spec.ts","",""
"","6783","View product details","webkit","2026-07-25","failed","2026-07-25","","ui/products.spec.ts","",""
"","717","User tests","firefox","2026-07-25","failed","2026-07-25","","api/user.spec.ts","",""
"","726","Product tests","firefox","2026-07-25","failed","2026-07-25","","api/products.spec.ts","",""
"","7112","View product details","firefox","2026-07-25","failed","2026-07-25","","ui/products.spec.ts","",""
"","30621","Delete the created user account","chromium","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","7088","Login with valid credentials","firefox","2026-07-25","failed","2026-07-25","","ui/login.spec.ts","",""
"","6177","View product details","chromium","2026-07-25","failed","2026-07-25","","ui/products.spec.ts","",""
"","6807","Login with valid credentials","webkit","2026-07-25","failed","2026-07-25","","ui/login.spec.ts","",""
"","6498","Add to cart from products page","webkit","2026-07-25","failed","2026-07-25","","ui/products.spec.ts","",""
"","60119","Navigate to signup page and register a new user","firefox","2026-07-25","broken","2026-07-25","","ui/register.spec.ts","",""
"","5881","Delete a product from cart","chromium","2026-07-25","failed","2026-07-25","","ui/products.spec.ts","",""
"","6875","Search for a product","firefox","2026-07-25","failed","2026-07-25","","ui/products.spec.ts","",""
"","743","Product tests","chromium","2026-07-25","failed","2026-07-25","","api/products.spec.ts","",""
"","31456","Fill in the signup form and submit","chromium","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","736","User tests","webkit","2026-07-25","failed","2026-07-25","","api/user.spec.ts","",""
"","6179","Add a product to cart and checkout","chromium","2026-07-25","failed","2026-07-25","","ui/products.spec.ts","",""
"","6168","Add to cart from products page","chromium","2026-07-25","failed","2026-07-25","","ui/products.spec.ts","",""
"","30331","Fill in the signup form and submit","firefox","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","463","Verify Login API","chromium","2026-07-25","failed","2026-07-25","","api/login.spec.ts","",""
"","7032","Delete a product from cart","firefox","2026-07-25","failed","2026-07-25","","ui/products.spec.ts","",""
"","60256","Navigate to signup page and register a new user","chromium","2026-07-25","broken","2026-07-25","","ui/register.spec.ts","",""
"","6824","Login with invalid credentials","firefox","2026-07-25","failed","2026-07-25","","ui/login.spec.ts","",""
"","7051","Add a product to cart and checkout","firefox","2026-07-25","failed","2026-07-25","","ui/products.spec.ts","",""
"","6801","Add a product to cart and checkout","webkit","2026-07-25","failed","2026-07-25","","ui/products.spec.ts","",""
"","6824","Add to cart from products page","firefox","2026-07-25","failed","2026-07-25","","ui/products.spec.ts","",""
"","6808","Add to cart from product details page","webkit","2026-07-25","failed","2026-07-25","","ui/products.spec.ts","",""
"","6161","Login with invalid credentials","chromium","2026-07-25","failed","2026-07-25","","ui/login.spec.ts","",""
"","6789","Navigate to products page","webkit","2026-07-25","failed","2026-07-25","","ui/products.spec.ts","",""
"","5891","Search for a product","chromium","2026-07-25","failed","2026-07-25","","ui/products.spec.ts","",""
"","63525","Navigate to signup page and register a new user","webkit","2026-07-25","broken","2026-07-25","","ui/register.spec.ts","",""
"","6171","Add to cart from product details page","chromium","2026-07-25","failed","2026-07-25","","ui/products.spec.ts","",""
"","6764","Delete a product from cart","webkit","2026-07-25","failed","2026-07-25","","ui/products.spec.ts","",""
"","30918","Fill in the signup form and submit","webkit","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","6798","Search for a product","webkit","2026-07-25","failed","2026-07-25","","ui/products.spec.ts","",""
"","6186","Increase product quantity in view products page","chromium","2026-07-25","failed","2026-07-25","","ui/products.spec.ts","",""
"","6831","Increase product quantity in view products page","firefox","2026-07-25","failed","2026-07-25","","ui/products.spec.ts","",""
"","727","User tests","chromium","2026-07-25","failed","2026-07-25","","api/user.spec.ts","",""
"","717","Product tests","webkit","2026-07-25","failed","2026-07-25","","api/products.spec.ts","",""
"","734","Verify Login API","webkit","2026-07-25","failed","2026-07-25","","api/login.spec.ts","",""
"","752","Verify Login API","firefox","2026-07-25","failed","2026-07-25","","api/login.spec.ts","",""
"","6169","Login with valid credentials","chromium","2026-07-25","failed","2026-07-25","","ui/login.spec.ts","",""
"","6474","Increase product quantity in view products page","webkit","2026-07-25","failed","2026-07-25","","ui/products.spec.ts","",""
"","6173","Navigate to products page","chromium","2026-07-25","failed","2026-07-25","","ui/products.spec.ts","",""
"","34024","Delete the created user account","webkit","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","6835","Add to cart from product details page","firefox","2026-07-25","failed","2026-07-25","","ui/products.spec.ts","",""
