"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4422","Delete a product from cart","chromium","2026-09-05","passed","2026-09-05","","ui/products.spec.ts","",""
"","4155","Search for a product","firefox","2026-09-05","passed","2026-09-05","","ui/products.spec.ts","",""
"","3386","View product details","firefox","2026-09-05","passed","2026-09-05","","ui/products.spec.ts","",""
"","30703","Delete the created user account","firefox","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","3746","Login with valid credentials","chromium","2026-09-05","passed","2026-09-05","","ui/login.spec.ts","",""
"","587","User tests","webkit","2026-09-05","passed","2026-09-05","","api/user.spec.ts","",""
"","4962","Delete a product from cart","firefox","2026-09-05","passed","2026-09-05","","ui/products.spec.ts","",""
"","3276","Navigate to products page","chromium","2026-09-05","passed","2026-09-05","","ui/products.spec.ts","",""
"","9398","View product details","webkit","2026-09-05","failed","2026-09-05","","ui/products.spec.ts","",""
"","20031","Navigate to signup page and register a new user","chromium","2026-09-05","failed","2026-09-05","","ui/register.spec.ts","",""
"","30621","Delete the created user account","chromium","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","3197","View product details","chromium","2026-09-05","passed","2026-09-05","","ui/products.spec.ts","",""
"","1622","Verify Login API","firefox","2026-09-05","passed","2026-09-05","","api/login.spec.ts","",""
"","4895","Add a product to cart and checkout","firefox","2026-09-05","passed","2026-09-05","","ui/products.spec.ts","",""
"","2994","Navigate to products page","firefox","2026-09-05","passed","2026-09-05","","ui/products.spec.ts","",""
"","3303","Add to cart from products page","chromium","2026-09-05","passed","2026-09-05","","ui/products.spec.ts","",""
"","4854","Add to cart from product details page","webkit","2026-09-05","passed","2026-09-05","","ui/products.spec.ts","",""
"","18726","Navigate to signup page and register a new user","firefox","2026-09-05","passed","2026-09-05","","ui/register.spec.ts","",""
"","782","Verify Login API","chromium","2026-09-05","passed","2026-09-05","","api/login.spec.ts","",""
"","5833","Add to cart from products page","webkit","2026-09-05","passed","2026-09-05","","ui/products.spec.ts","",""
"","31456","Fill in the signup form and submit","chromium","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","528","Product tests","chromium","2026-09-05","passed","2026-09-05","","api/products.spec.ts","",""
"","669","Product tests","webkit","2026-09-05","passed","2026-09-05","","api/products.spec.ts","",""
"","709","User tests","chromium","2026-09-05","passed","2026-09-05","","api/user.spec.ts","",""
"","3756","Search for a product","chromium","2026-09-05","passed","2026-09-05","","ui/products.spec.ts","",""
"","34024","Delete the created user account","webkit","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","3609","Login with invalid credentials","firefox","2026-09-05","passed","2026-09-05","","ui/login.spec.ts","",""
"","5604","Add a product to cart and checkout","webkit","2026-09-05","passed","2026-09-05","","ui/products.spec.ts","",""
"","770","Verify Login API","webkit","2026-09-05","passed","2026-09-05","","api/login.spec.ts","",""
"","707","User tests","firefox","2026-09-05","passed","2026-09-05","","api/user.spec.ts","",""
"","30331","Fill in the signup form and submit","firefox","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","6501","Delete a product from cart","webkit","2026-09-05","passed","2026-09-05","","ui/products.spec.ts","",""
"","30918","Fill in the signup form and submit","webkit","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","19369","Navigate to signup page and register a new user","webkit","2026-09-05","passed","2026-09-05","","ui/register.spec.ts","",""
"","3239","Navigate to products page","webkit","2026-09-05","passed","2026-09-05","","ui/products.spec.ts","",""
"","5525","Search for a product","webkit","2026-09-05","passed","2026-09-05","","ui/products.spec.ts","",""
"","5085","Increase product quantity in view products page","webkit","2026-09-05","passed","2026-09-05","","ui/products.spec.ts","",""
"","5701","Login with valid credentials","webkit","2026-09-05","passed","2026-09-05","","ui/login.spec.ts","",""
"","4311","Increase product quantity in view products page","chromium","2026-09-05","passed","2026-09-05","","ui/products.spec.ts","",""
"","3954","Add to cart from product details page","chromium","2026-09-05","passed","2026-09-05","","ui/products.spec.ts","",""
"","3333","Login with invalid credentials","chromium","2026-09-05","passed","2026-09-05","","ui/login.spec.ts","",""
"","4778","Add a product to cart and checkout","chromium","2026-09-05","passed","2026-09-05","","ui/products.spec.ts","",""
"","6128","Increase product quantity in view products page","firefox","2026-09-05","passed","2026-09-05","","ui/products.spec.ts","",""
"","482","Product tests","firefox","2026-09-05","passed","2026-09-05","","api/products.spec.ts","",""
"","3189","Add to cart from products page","firefox","2026-09-05","passed","2026-09-05","","ui/products.spec.ts","",""
"","3986","Add to cart from product details page","firefox","2026-09-05","passed","2026-09-05","","ui/products.spec.ts","",""
"","5481","Login with valid credentials","firefox","2026-09-05","passed","2026-09-05","","ui/login.spec.ts","",""
"","3602","Login with invalid credentials","webkit","2026-09-05","passed","2026-09-05","","ui/login.spec.ts","",""
