"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23165","Navigate to signup page and register a new user","firefox","2026-07-16","failed","2026-07-16","","ui/register.spec.ts","",""
"","531","Product tests","firefox","2026-07-16","passed","2026-07-16","","api/products.spec.ts","",""
"","977","Verify Login API","chromium","2026-07-16","passed","2026-07-16","","api/login.spec.ts","",""
"","4701","Login with valid credentials","chromium","2026-07-16","passed","2026-07-16","","ui/login.spec.ts","",""
"","4862","Delete a product from cart","chromium","2026-07-16","passed","2026-07-16","","ui/products.spec.ts","",""
"","20215","Navigate to signup page and register a new user","chromium","2026-07-16","failed","2026-07-16","","ui/register.spec.ts","",""
"","3598","Add to cart from products page","chromium","2026-07-16","passed","2026-07-16","","ui/products.spec.ts","",""
"","30621","Delete the created user account","chromium","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","4067","Add to cart from product details page","chromium","2026-07-16","passed","2026-07-16","","ui/products.spec.ts","",""
"","30331","Fill in the signup form and submit","firefox","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","3920","Login with invalid credentials","webkit","2026-07-16","passed","2026-07-16","","ui/login.spec.ts","",""
"","6059","Increase product quantity in view products page","firefox","2026-07-16","passed","2026-07-16","","ui/products.spec.ts","",""
"","19127","Navigate to signup page and register a new user","webkit","2026-07-16","passed","2026-07-16","","ui/register.spec.ts","",""
"","2853","Navigate to products page","firefox","2026-07-16","passed","2026-07-16","","ui/products.spec.ts","",""
"","700","User tests","webkit","2026-07-16","passed","2026-07-16","","api/user.spec.ts","",""
"","613","Product tests","webkit","2026-07-16","passed","2026-07-16","","api/products.spec.ts","",""
"","3610","Login with invalid credentials","chromium","2026-07-16","passed","2026-07-16","","ui/login.spec.ts","",""
"","578","Product tests","chromium","2026-07-16","passed","2026-07-16","","api/products.spec.ts","",""
"","8609","Increase product quantity in view products page","chromium","2026-07-16","failed","2026-07-16","","ui/products.spec.ts","",""
"","4736","Add to cart from product details page","webkit","2026-07-16","passed","2026-07-16","","ui/products.spec.ts","",""
"","4408","Search for a product","firefox","2026-07-16","passed","2026-07-16","","ui/products.spec.ts","",""
"","885","Verify Login API","firefox","2026-07-16","passed","2026-07-16","","api/login.spec.ts","",""
"","893","Verify Login API","webkit","2026-07-16","passed","2026-07-16","","api/login.spec.ts","",""
"","4368","View product details","webkit","2026-07-16","passed","2026-07-16","","ui/products.spec.ts","",""
"","4964","Delete a product from cart","firefox","2026-07-16","passed","2026-07-16","","ui/products.spec.ts","",""
"","10800","Login with valid credentials","webkit","2026-07-16","passed","2026-07-16","","ui/login.spec.ts","",""
"","30703","Delete the created user account","firefox","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","31456","Fill in the signup form and submit","chromium","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","4470","Login with valid credentials","firefox","2026-07-16","passed","2026-07-16","","ui/login.spec.ts","",""
"","4157","View product details","chromium","2026-07-16","passed","2026-07-16","","ui/products.spec.ts","",""
"","30918","Fill in the signup form and submit","webkit","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","4708","Add a product to cart and checkout","firefox","2026-07-16","passed","2026-07-16","","ui/products.spec.ts","",""
"","3321","Add to cart from products page","firefox","2026-07-16","passed","2026-07-16","","ui/products.spec.ts","",""
"","4415","Navigate to products page","webkit","2026-07-16","passed","2026-07-16","","ui/products.spec.ts","",""
"","3019","Navigate to products page","chromium","2026-07-16","passed","2026-07-16","","ui/products.spec.ts","",""
"","4746","Add a product to cart and checkout","chromium","2026-07-16","passed","2026-07-16","","ui/products.spec.ts","",""
"","4712","Add to cart from products page","webkit","2026-07-16","passed","2026-07-16","","ui/products.spec.ts","",""
"","3474","Login with invalid credentials","firefox","2026-07-16","passed","2026-07-16","","ui/login.spec.ts","",""
"","710","User tests","chromium","2026-07-16","passed","2026-07-16","","api/user.spec.ts","",""
"","6081","Add a product to cart and checkout","webkit","2026-07-16","passed","2026-07-16","","ui/products.spec.ts","",""
"","34024","Delete the created user account","webkit","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","4334","Search for a product","chromium","2026-07-16","passed","2026-07-16","","ui/products.spec.ts","",""
"","4543","Add to cart from product details page","firefox","2026-07-16","passed","2026-07-16","","ui/products.spec.ts","",""
"","5378","Increase product quantity in view products page","webkit","2026-07-16","passed","2026-07-16","","ui/products.spec.ts","",""
"","706","User tests","firefox","2026-07-16","passed","2026-07-16","","api/user.spec.ts","",""
"","5235","Search for a product","webkit","2026-07-16","passed","2026-07-16","","ui/products.spec.ts","",""
"","5427","Delete a product from cart","webkit","2026-07-16","passed","2026-07-16","","ui/products.spec.ts","",""
"","4039","View product details","firefox","2026-07-16","passed","2026-07-16","","ui/products.spec.ts","",""
