"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6715","Increase product quantity in view products page","firefox","2026-09-08","passed","2026-09-08","","ui/products.spec.ts","",""
"","4246","Add to cart from product details page","chromium","2026-09-08","passed","2026-09-08","","ui/products.spec.ts","",""
"","1387","Product tests","firefox","2026-09-08","passed","2026-09-08","","api/products.spec.ts","",""
"","1051","User tests","webkit","2026-09-08","passed","2026-09-08","","api/user.spec.ts","",""
"","5673","Add to cart from product details page","webkit","2026-09-08","passed","2026-09-08","","ui/products.spec.ts","",""
"","4773","Increase product quantity in view products page","chromium","2026-09-08","passed","2026-09-08","","ui/products.spec.ts","",""
"","1324","Verify Login API","chromium","2026-09-08","passed","2026-09-08","","api/login.spec.ts","",""
"","3437","Navigate to products page","chromium","2026-09-08","passed","2026-09-08","","ui/products.spec.ts","",""
"","4914","View product details","firefox","2026-09-08","passed","2026-09-08","","ui/products.spec.ts","",""
"","4472","Navigate to products page","webkit","2026-09-08","passed","2026-09-08","","ui/products.spec.ts","",""
"","4545","Add to cart from products page","chromium","2026-09-08","passed","2026-09-08","","ui/products.spec.ts","",""
"","4633","User tests","firefox","2026-09-08","passed","2026-09-08","","api/user.spec.ts","",""
"","30621","Delete the created user account","chromium","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","30703","Delete the created user account","firefox","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","5999","View product details","webkit","2026-09-08","passed","2026-09-08","","ui/products.spec.ts","",""
"","4186","Login with invalid credentials","firefox","2026-09-08","passed","2026-09-08","","ui/login.spec.ts","",""
"","983","Product tests","chromium","2026-09-08","passed","2026-09-08","","api/products.spec.ts","",""
"","30331","Fill in the signup form and submit","firefox","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","4593","Login with invalid credentials","webkit","2026-09-08","passed","2026-09-08","","ui/login.spec.ts","",""
"","6531","Add a product to cart and checkout","webkit","2026-09-08","passed","2026-09-08","","ui/products.spec.ts","",""
"","1023","Verify Login API","firefox","2026-09-08","passed","2026-09-08","","api/login.spec.ts","",""
"","4351","Search for a product","chromium","2026-09-08","passed","2026-09-08","","ui/products.spec.ts","",""
"","5907","Delete a product from cart","firefox","2026-09-08","passed","2026-09-08","","ui/products.spec.ts","",""
"","1079","Product tests","webkit","2026-09-08","passed","2026-09-08","","api/products.spec.ts","",""
"","3808","View product details","chromium","2026-09-08","passed","2026-09-08","","ui/products.spec.ts","",""
"","7826","Login with valid credentials","webkit","2026-09-08","passed","2026-09-08","","ui/login.spec.ts","",""
"","7009","Login with valid credentials","chromium","2026-09-08","passed","2026-09-08","","ui/login.spec.ts","",""
"","4117","Add to cart from products page","firefox","2026-09-08","passed","2026-09-08","","ui/products.spec.ts","",""
"","4495","Search for a product","firefox","2026-09-08","passed","2026-09-08","","ui/products.spec.ts","",""
"","4448","Add to cart from products page","webkit","2026-09-08","passed","2026-09-08","","ui/products.spec.ts","",""
"","34024","Delete the created user account","webkit","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","5220","Add a product to cart and checkout","chromium","2026-09-08","passed","2026-09-08","","ui/products.spec.ts","",""
"","28649","Navigate to signup page and register a new user","firefox","2026-09-08","failed","2026-09-08","","ui/register.spec.ts","",""
"","26251","Navigate to signup page and register a new user","webkit","2026-09-08","passed","2026-09-08","","ui/register.spec.ts","",""
"","1438","Verify Login API","webkit","2026-09-08","passed","2026-09-08","","api/login.spec.ts","",""
"","2333","User tests","chromium","2026-09-08","passed","2026-09-08","","api/user.spec.ts","",""
"","5988","Add a product to cart and checkout","firefox","2026-09-08","passed","2026-09-08","","ui/products.spec.ts","",""
"","4590","Add to cart from product details page","firefox","2026-09-08","passed","2026-09-08","","ui/products.spec.ts","",""
"","7132","Login with valid credentials","firefox","2026-09-08","passed","2026-09-08","","ui/login.spec.ts","",""
"","7873","Increase product quantity in view products page","webkit","2026-09-08","passed","2026-09-08","","ui/products.spec.ts","",""
"","7414","Search for a product","webkit","2026-09-08","passed","2026-09-08","","ui/products.spec.ts","",""
"","20995","Navigate to signup page and register a new user","chromium","2026-09-08","failed","2026-09-08","","ui/register.spec.ts","",""
"","3449","Navigate to products page","firefox","2026-09-08","passed","2026-09-08","","ui/products.spec.ts","",""
"","30918","Fill in the signup form and submit","webkit","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","4835","Delete a product from cart","chromium","2026-09-08","passed","2026-09-08","","ui/products.spec.ts","",""
"","31456","Fill in the signup form and submit","chromium","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","30746","Delete a product from cart","webkit","2026-09-08","broken","2026-09-08","","ui/products.spec.ts","",""
"","3613","Login with invalid credentials","chromium","2026-09-08","passed","2026-09-08","","ui/login.spec.ts","",""
