"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6234","Delete a product from cart","webkit","2026-09-11","passed","2026-09-11","","ui/products.spec.ts","",""
"","4983","Navigate to products page","webkit","2026-09-11","passed","2026-09-11","","ui/products.spec.ts","",""
"","5386","Delete a product from cart","chromium","2026-09-11","passed","2026-09-11","","ui/products.spec.ts","",""
"","7067","View product details","firefox","2026-09-11","passed","2026-09-11","","ui/products.spec.ts","",""
"","8949","Add a product to cart and checkout","webkit","2026-09-11","failed","2026-09-11","","ui/products.spec.ts","",""
"","1594","Product tests","firefox","2026-09-11","passed","2026-09-11","","api/products.spec.ts","",""
"","5874","Add to cart from product details page","firefox","2026-09-11","passed","2026-09-11","","ui/products.spec.ts","",""
"","2235","User tests","firefox","2026-09-11","passed","2026-09-11","","api/user.spec.ts","",""
"","3481","Login with invalid credentials","chromium","2026-09-11","passed","2026-09-11","","ui/login.spec.ts","",""
"","30703","Delete the created user account","firefox","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","2258","Verify Login API","webkit","2026-09-11","passed","2026-09-11","","api/login.spec.ts","",""
"","5234","Add to cart from product details page","chromium","2026-09-11","passed","2026-09-11","","ui/products.spec.ts","",""
"","3346","Add to cart from products page","firefox","2026-09-11","passed","2026-09-11","","ui/products.spec.ts","",""
"","8660","Search for a product","webkit","2026-09-11","passed","2026-09-11","","ui/products.spec.ts","",""
"","5365","Increase product quantity in view products page","chromium","2026-09-11","passed","2026-09-11","","ui/products.spec.ts","",""
"","30331","Fill in the signup form and submit","firefox","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","5329","View product details","webkit","2026-09-11","passed","2026-09-11","","ui/products.spec.ts","",""
"","1194","Product tests","chromium","2026-09-11","passed","2026-09-11","","api/products.spec.ts","",""
"","19546","Navigate to signup page and register a new user","firefox","2026-09-11","passed","2026-09-11","","ui/register.spec.ts","",""
"","6784","Login with valid credentials","chromium","2026-09-11","passed","2026-09-11","","ui/login.spec.ts","",""
"","6057","Delete a product from cart","firefox","2026-09-11","passed","2026-09-11","","ui/products.spec.ts","",""
"","30918","Fill in the signup form and submit","webkit","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","4296","Login with invalid credentials","firefox","2026-09-11","passed","2026-09-11","","ui/login.spec.ts","",""
"","34024","Delete the created user account","webkit","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","6617","Login with valid credentials","firefox","2026-09-11","passed","2026-09-11","","ui/login.spec.ts","",""
"","31456","Fill in the signup form and submit","chromium","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","4494","Login with invalid credentials","webkit","2026-09-11","passed","2026-09-11","","ui/login.spec.ts","",""
"","9974","Login with valid credentials","webkit","2026-09-11","passed","2026-09-11","","ui/login.spec.ts","",""
"","1090","Verify Login API","firefox","2026-09-11","passed","2026-09-11","","api/login.spec.ts","",""
"","5875","Search for a product","chromium","2026-09-11","passed","2026-09-11","","ui/products.spec.ts","",""
"","5131","View product details","chromium","2026-09-11","passed","2026-09-11","","ui/products.spec.ts","",""
"","4871","Navigate to products page","firefox","2026-09-11","passed","2026-09-11","","ui/products.spec.ts","",""
"","5875","Add a product to cart and checkout","firefox","2026-09-11","passed","2026-09-11","","ui/products.spec.ts","",""
"","5306","Add to cart from product details page","webkit","2026-09-11","passed","2026-09-11","","ui/products.spec.ts","",""
"","2036","User tests","chromium","2026-09-11","passed","2026-09-11","","api/user.spec.ts","",""
"","2786","User tests","webkit","2026-09-11","passed","2026-09-11","","api/user.spec.ts","",""
"","23790","Navigate to signup page and register a new user","webkit","2026-09-11","passed","2026-09-11","","ui/register.spec.ts","",""
"","3973","Add to cart from products page","chromium","2026-09-11","passed","2026-09-11","","ui/products.spec.ts","",""
"","3259","Navigate to products page","chromium","2026-09-11","passed","2026-09-11","","ui/products.spec.ts","",""
"","22014","Navigate to signup page and register a new user","chromium","2026-09-11","failed","2026-09-11","","ui/register.spec.ts","",""
"","5044","Add a product to cart and checkout","chromium","2026-09-11","passed","2026-09-11","","ui/products.spec.ts","",""
"","1422","Verify Login API","chromium","2026-09-11","passed","2026-09-11","","api/login.spec.ts","",""
"","7164","Increase product quantity in view products page","firefox","2026-09-11","passed","2026-09-11","","ui/products.spec.ts","",""
"","7683","Search for a product","firefox","2026-09-11","passed","2026-09-11","","ui/products.spec.ts","",""
"","2581","Product tests","webkit","2026-09-11","passed","2026-09-11","","api/products.spec.ts","",""
"","8529","Increase product quantity in view products page","webkit","2026-09-11","passed","2026-09-11","","ui/products.spec.ts","",""
"","7363","Add to cart from products page","webkit","2026-09-11","passed","2026-09-11","","ui/products.spec.ts","",""
"","30621","Delete the created user account","chromium","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
