"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","816","Verify Login API","webkit","2026-07-22","passed","2026-07-22","","api/login.spec.ts","",""
"","6944","Add a product to cart and checkout","webkit","2026-07-22","passed","2026-07-22","","ui/products.spec.ts","",""
"","4619","Login with valid credentials","firefox","2026-07-22","passed","2026-07-22","","ui/login.spec.ts","",""
"","4877","Add to cart from products page","webkit","2026-07-22","passed","2026-07-22","","ui/products.spec.ts","",""
"","4303","Login with invalid credentials","webkit","2026-07-22","passed","2026-07-22","","ui/login.spec.ts","",""
"","19649","Navigate to signup page and register a new user","chromium","2026-07-22","passed","2026-07-22","","ui/register.spec.ts","",""
"","884","Verify Login API","chromium","2026-07-22","passed","2026-07-22","","api/login.spec.ts","",""
"","496","Product tests","chromium","2026-07-22","passed","2026-07-22","","api/products.spec.ts","",""
"","19564","Navigate to signup page and register a new user","webkit","2026-07-22","passed","2026-07-22","","ui/register.spec.ts","",""
"","3259","Login with invalid credentials","firefox","2026-07-22","passed","2026-07-22","","ui/login.spec.ts","",""
"","5631","Increase product quantity in view products page","firefox","2026-07-22","passed","2026-07-22","","ui/products.spec.ts","",""
"","6752","Delete a product from cart","webkit","2026-07-22","passed","2026-07-22","","ui/products.spec.ts","",""
"","4114","Login with valid credentials","chromium","2026-07-22","passed","2026-07-22","","ui/login.spec.ts","",""
"","3501","View product details","firefox","2026-07-22","passed","2026-07-22","","ui/products.spec.ts","",""
"","20494","Navigate to signup page and register a new user","firefox","2026-07-22","passed","2026-07-22","","ui/register.spec.ts","",""
"","3151","Add to cart from products page","chromium","2026-07-22","passed","2026-07-22","","ui/products.spec.ts","",""
"","30918","Fill in the signup form and submit","webkit","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","634","User tests","webkit","2026-07-22","passed","2026-07-22","","api/user.spec.ts","",""
"","4409","Delete a product from cart","firefox","2026-07-22","passed","2026-07-22","","ui/products.spec.ts","",""
"","30331","Fill in the signup form and submit","firefox","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","8838","Increase product quantity in view products page","chromium","2026-07-22","passed","2026-07-22","","ui/products.spec.ts","",""
"","3897","Add to cart from product details page","firefox","2026-07-22","passed","2026-07-22","","ui/products.spec.ts","",""
"","2775","Navigate to products page","firefox","2026-07-22","passed","2026-07-22","","ui/products.spec.ts","",""
"","3642","Login with invalid credentials","chromium","2026-07-22","passed","2026-07-22","","ui/login.spec.ts","",""
"","4552","Delete a product from cart","chromium","2026-07-22","passed","2026-07-22","","ui/products.spec.ts","",""
"","816","Verify Login API","firefox","2026-07-22","passed","2026-07-22","","api/login.spec.ts","",""
"","3367","View product details","chromium","2026-07-22","passed","2026-07-22","","ui/products.spec.ts","",""
"","31456","Fill in the signup form and submit","chromium","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","4982","Navigate to products page","webkit","2026-07-22","passed","2026-07-22","","ui/products.spec.ts","",""
"","30621","Delete the created user account","chromium","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","3640","Add to cart from product details page","chromium","2026-07-22","passed","2026-07-22","","ui/products.spec.ts","",""
"","6073","Search for a product","webkit","2026-07-22","passed","2026-07-22","","ui/products.spec.ts","",""
"","3965","Search for a product","chromium","2026-07-22","passed","2026-07-22","","ui/products.spec.ts","",""
"","8537","Login with valid credentials","webkit","2026-07-22","passed","2026-07-22","","ui/login.spec.ts","",""
"","547","Product tests","firefox","2026-07-22","passed","2026-07-22","","api/products.spec.ts","",""
"","6004","Increase product quantity in view products page","webkit","2026-07-22","passed","2026-07-22","","ui/products.spec.ts","",""
"","34024","Delete the created user account","webkit","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","592","User tests","chromium","2026-07-22","passed","2026-07-22","","api/user.spec.ts","",""
"","3411","Add to cart from products page","firefox","2026-07-22","passed","2026-07-22","","ui/products.spec.ts","",""
"","501","Product tests","webkit","2026-07-22","passed","2026-07-22","","api/products.spec.ts","",""
"","838","User tests","firefox","2026-07-22","passed","2026-07-22","","api/user.spec.ts","",""
"","7310","Add to cart from product details page","webkit","2026-07-22","passed","2026-07-22","","ui/products.spec.ts","",""
"","2296","Navigate to products page","chromium","2026-07-22","passed","2026-07-22","","ui/products.spec.ts","",""
"","3879","Search for a product","firefox","2026-07-22","passed","2026-07-22","","ui/products.spec.ts","",""
"","4446","Add a product to cart and checkout","chromium","2026-07-22","passed","2026-07-22","","ui/products.spec.ts","",""
"","5885","View product details","webkit","2026-07-22","passed","2026-07-22","","ui/products.spec.ts","",""
"","30703","Delete the created user account","firefox","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","5213","Add a product to cart and checkout","firefox","2026-07-22","passed","2026-07-22","","ui/products.spec.ts","",""
