"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5403","Login with valid credentials","firefox","2026-09-13","passed","2026-09-13","","ui/login.spec.ts","",""
"","4158","Increase product quantity in view products page","chromium","2026-09-13","passed","2026-09-13","","ui/products.spec.ts","",""
"","5457","Add to cart from products page","webkit","2026-09-13","passed","2026-09-13","","ui/products.spec.ts","",""
"","741","Verify Login API","chromium","2026-09-13","passed","2026-09-13","","api/login.spec.ts","",""
"","552","User tests","webkit","2026-09-13","passed","2026-09-13","","api/user.spec.ts","",""
"","3088","View product details","chromium","2026-09-13","passed","2026-09-13","","ui/products.spec.ts","",""
"","3881","Search for a product","firefox","2026-09-13","passed","2026-09-13","","ui/products.spec.ts","",""
"","6589","Increase product quantity in view products page","firefox","2026-09-13","passed","2026-09-13","","ui/products.spec.ts","",""
"","7489","Delete a product from cart","webkit","2026-09-13","passed","2026-09-13","","ui/products.spec.ts","",""
"","5765","Add a product to cart and checkout","webkit","2026-09-13","passed","2026-09-13","","ui/products.spec.ts","",""
"","487","Product tests","chromium","2026-09-13","passed","2026-09-13","","api/products.spec.ts","",""
"","30918","Fill in the signup form and submit","webkit","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","4197","Navigate to products page","webkit","2026-09-13","passed","2026-09-13","","ui/products.spec.ts","",""
"","4471","Delete a product from cart","firefox","2026-09-13","passed","2026-09-13","","ui/products.spec.ts","",""
"","30621","Delete the created user account","chromium","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","4442","Add a product to cart and checkout","firefox","2026-09-13","passed","2026-09-13","","ui/products.spec.ts","",""
"","20305","Navigate to signup page and register a new user","webkit","2026-09-13","passed","2026-09-13","","ui/register.spec.ts","",""
"","16024","Navigate to signup page and register a new user","chromium","2026-09-13","passed","2026-09-13","","ui/register.spec.ts","",""
"","4603","Delete a product from cart","chromium","2026-09-13","passed","2026-09-13","","ui/products.spec.ts","",""
"","3761","Search for a product","chromium","2026-09-13","passed","2026-09-13","","ui/products.spec.ts","",""
"","3394","Add to cart from products page","chromium","2026-09-13","passed","2026-09-13","","ui/products.spec.ts","",""
"","3756","Add to cart from products page","firefox","2026-09-13","passed","2026-09-13","","ui/products.spec.ts","",""
"","4026","Login with valid credentials","chromium","2026-09-13","passed","2026-09-13","","ui/login.spec.ts","",""
"","4830","View product details","webkit","2026-09-13","passed","2026-09-13","","ui/products.spec.ts","",""
"","11444","Login with valid credentials","webkit","2026-09-13","passed","2026-09-13","","ui/login.spec.ts","",""
"","2607","Navigate to products page","firefox","2026-09-13","passed","2026-09-13","","ui/products.spec.ts","",""
"","462","Product tests","firefox","2026-09-13","passed","2026-09-13","","api/products.spec.ts","",""
"","4187","Add to cart from product details page","firefox","2026-09-13","passed","2026-09-13","","ui/products.spec.ts","",""
"","465","Product tests","webkit","2026-09-13","passed","2026-09-13","","api/products.spec.ts","",""
"","30331","Fill in the signup form and submit","firefox","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","4950","Add to cart from product details page","webkit","2026-09-13","passed","2026-09-13","","ui/products.spec.ts","",""
"","34024","Delete the created user account","webkit","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","717","Verify Login API","webkit","2026-09-13","passed","2026-09-13","","api/login.spec.ts","",""
"","3457","View product details","firefox","2026-09-13","passed","2026-09-13","","ui/products.spec.ts","",""
"","5950","Login with invalid credentials","webkit","2026-09-13","passed","2026-09-13","","ui/login.spec.ts","",""
"","707","Verify Login API","firefox","2026-09-13","passed","2026-09-13","","api/login.spec.ts","",""
"","550","User tests","firefox","2026-09-13","passed","2026-09-13","","api/user.spec.ts","",""
"","549","User tests","chromium","2026-09-13","passed","2026-09-13","","api/user.spec.ts","",""
"","31456","Fill in the signup form and submit","chromium","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","4431","Add a product to cart and checkout","chromium","2026-09-13","passed","2026-09-13","","ui/products.spec.ts","",""
"","5433","Increase product quantity in view products page","webkit","2026-09-13","passed","2026-09-13","","ui/products.spec.ts","",""
"","30703","Delete the created user account","firefox","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","2504","Navigate to products page","chromium","2026-09-13","passed","2026-09-13","","ui/products.spec.ts","",""
"","4075","Login with invalid credentials","firefox","2026-09-13","passed","2026-09-13","","ui/login.spec.ts","",""
"","4231","Add to cart from product details page","chromium","2026-09-13","passed","2026-09-13","","ui/products.spec.ts","",""
"","3779","Login with invalid credentials","chromium","2026-09-13","passed","2026-09-13","","ui/login.spec.ts","",""
"","6101","Search for a product","webkit","2026-09-13","passed","2026-09-13","","ui/products.spec.ts","",""
"","18184","Navigate to signup page and register a new user","firefox","2026-09-13","passed","2026-09-13","","ui/register.spec.ts","",""
