"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4014","Login with invalid credentials","chromium","2026-08-17","passed","2026-08-17","","ui/login.spec.ts","",""
"","4091","Login with invalid credentials","webkit","2026-08-17","passed","2026-08-17","","ui/login.spec.ts","",""
"","4684","Delete a product from cart","chromium","2026-08-17","passed","2026-08-17","","ui/products.spec.ts","",""
"","3513","View product details","firefox","2026-08-17","passed","2026-08-17","","ui/products.spec.ts","",""
"","6991","Increase product quantity in view products page","webkit","2026-08-17","passed","2026-08-17","","ui/products.spec.ts","",""
"","2980","Navigate to products page","chromium","2026-08-17","passed","2026-08-17","","ui/products.spec.ts","",""
"","30918","Fill in the signup form and submit","webkit","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","5719","View product details","webkit","2026-08-17","passed","2026-08-17","","ui/products.spec.ts","",""
"","4515","Search for a product","chromium","2026-08-17","passed","2026-08-17","","ui/products.spec.ts","",""
"","3726","Navigate to products page","webkit","2026-08-17","passed","2026-08-17","","ui/products.spec.ts","",""
"","3380","Add to cart from products page","firefox","2026-08-17","passed","2026-08-17","","ui/products.spec.ts","",""
"","1030","User tests","firefox","2026-08-17","passed","2026-08-17","","api/user.spec.ts","",""
"","30703","Delete the created user account","firefox","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","3864","Search for a product","firefox","2026-08-17","passed","2026-08-17","","ui/products.spec.ts","",""
"","6581","Add a product to cart and checkout","webkit","2026-08-17","passed","2026-08-17","","ui/products.spec.ts","",""
"","34024","Delete the created user account","webkit","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","591","Product tests","webkit","2026-08-17","passed","2026-08-17","","api/products.spec.ts","",""
"","7164","Login with valid credentials","webkit","2026-08-17","passed","2026-08-17","","ui/login.spec.ts","",""
"","6025","Increase product quantity in view products page","firefox","2026-08-17","passed","2026-08-17","","ui/products.spec.ts","",""
"","599","User tests","webkit","2026-08-17","passed","2026-08-17","","api/user.spec.ts","",""
"","4548","Login with valid credentials","chromium","2026-08-17","passed","2026-08-17","","ui/login.spec.ts","",""
"","489","Product tests","firefox","2026-08-17","passed","2026-08-17","","api/products.spec.ts","",""
"","30621","Delete the created user account","chromium","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","774","Verify Login API","webkit","2026-08-17","passed","2026-08-17","","api/login.spec.ts","",""
"","2667","Navigate to products page","firefox","2026-08-17","passed","2026-08-17","","ui/products.spec.ts","",""
"","4615","Delete a product from cart","firefox","2026-08-17","passed","2026-08-17","","ui/products.spec.ts","",""
"","8738","Delete a product from cart","webkit","2026-08-17","passed","2026-08-17","","ui/products.spec.ts","",""
"","805","Verify Login API","chromium","2026-08-17","passed","2026-08-17","","api/login.spec.ts","",""
"","4662","Add a product to cart and checkout","firefox","2026-08-17","passed","2026-08-17","","ui/products.spec.ts","",""
"","30331","Fill in the signup form and submit","firefox","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","17711","Navigate to signup page and register a new user","firefox","2026-08-17","passed","2026-08-17","","ui/register.spec.ts","",""
"","16514","Navigate to signup page and register a new user","chromium","2026-08-17","passed","2026-08-17","","ui/register.spec.ts","",""
"","4799","Increase product quantity in view products page","chromium","2026-08-17","passed","2026-08-17","","ui/products.spec.ts","",""
"","4868","Add to cart from product details page","webkit","2026-08-17","passed","2026-08-17","","ui/products.spec.ts","",""
"","3852","Add to cart from product details page","firefox","2026-08-17","passed","2026-08-17","","ui/products.spec.ts","",""
"","532","User tests","chromium","2026-08-17","passed","2026-08-17","","api/user.spec.ts","",""
"","21593","Navigate to signup page and register a new user","webkit","2026-08-17","passed","2026-08-17","","ui/register.spec.ts","",""
"","3521","Login with invalid credentials","firefox","2026-08-17","passed","2026-08-17","","ui/login.spec.ts","",""
"","4657","Add a product to cart and checkout","chromium","2026-08-17","passed","2026-08-17","","ui/products.spec.ts","",""
"","4542","Add to cart from products page","webkit","2026-08-17","passed","2026-08-17","","ui/products.spec.ts","",""
"","6551","Search for a product","webkit","2026-08-17","passed","2026-08-17","","ui/products.spec.ts","",""
"","750","Verify Login API","firefox","2026-08-17","passed","2026-08-17","","api/login.spec.ts","",""
"","3762","View product details","chromium","2026-08-17","passed","2026-08-17","","ui/products.spec.ts","",""
"","31456","Fill in the signup form and submit","chromium","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","4278","Add to cart from product details page","chromium","2026-08-17","passed","2026-08-17","","ui/products.spec.ts","",""
"","3366","Add to cart from products page","chromium","2026-08-17","passed","2026-08-17","","ui/products.spec.ts","",""
"","470","Product tests","chromium","2026-08-17","passed","2026-08-17","","api/products.spec.ts","",""
"","4211","Login with valid credentials","firefox","2026-08-17","passed","2026-08-17","","ui/login.spec.ts","",""
